date,Case_Temperature,inputpower
2022-01-07 00:08:00,0.0,0.0
2022-01-07 00:08:01,0.0,0.0
2022-01-07 00:08:02,0.0,0.0
2022-01-07 00:08:03,27.8,4.2575
2022-01-07 00:08:04,27.8,4.2575
2022-01-07 00:08:05,27.8,4.2575
2022-01-07 00:08:06,27.9,4.2705
2022-01-07 00:08:07,27.9,4.2705
2022-01-07 00:08:08,27.9,4.2705
2022-01-07 00:08:09,27.9,4.5864
2022-01-07 00:08:10,27.9,4.5864
2022-01-07 00:08:11,27.9,4.5864
2022-01-07 00:08:12,28.0,5.5471
2022-01-07 00:08:13,28.0,5.5471
2022-01-07 00:08:14,28.0,5.5471
2022-01-07 00:08:15,27.9,4.9065
2022-01-07 00:08:16,27.9,4.9065
2022-01-07 00:08:17,27.9,4.9065
2022-01-07 00:08:18,27.9,4.5976
2022-01-07 00:08:19,27.9,4.5976
2022-01-07 00:08:20,27.9,4.5976
2022-01-07 00:08:21,27.9,5.9094
2022-01-07 00:08:22,27.9,5.9094
2022-01-07 00:08:23,27.9,5.9094
2022-01-07 00:08:24,27.9,4.2458
2022-01-07 00:08:25,27.9,4.2458
2022-01-07 00:08:26,27.9,4.2458
2022-01-07 00:08:27,27.8,6.2073
2022-01-07 00:08:28,27.8,6.2073
2022-01-07 00:08:29,27.9,5.9202
2022-01-07 00:08:30,27.9,5.9202
2022-01-07 00:08:31,27.8,6.8943
2022-01-07 00:08:32,27.8,6.8943
2022-01-07 00:08:33,27.8,6.8943
2022-01-07 00:08:34,27.9,4.9005
2022-01-07 00:08:35,27.9,4.9005
2022-01-07 00:08:36,27.9,4.9005
2022-01-07 00:08:37,28.0,5.2304
2022-01-07 00:08:38,28.0,5.2304
2022-01-07 00:08:39,28.0,5.2304
2022-01-07 00:08:40,28.0,5.2304
2022-01-07 00:08:41,28.0,5.2304
2022-01-07 00:08:42,28.0,5.2304
2022-01-07 00:08:43,28.0,4.2614
2022-01-07 00:08:44,28.0,4.2614
2022-01-07 00:08:45,28.0,4.2614
2022-01-07 00:08:46,28.0,5.542
2022-01-07 00:08:47,28.0,5.542
2022-01-07 00:08:48,28.0,5.542
2022-01-07 00:08:49,28.1,5.5573
2022-01-07 00:08:50,28.1,5.5573
2022-01-07 00:08:51,28.1,5.5573
2022-01-07 00:08:52,28.0,7.8672
2022-01-07 00:08:53,28.0,7.8672
2022-01-07 00:08:54,28.0,7.8672
2022-01-07 00:08:55,28.0,4.5906
2022-01-07 00:08:56,28.0,4.5906
2022-01-07 00:08:57,28.0,4.5906
2022-01-07 00:08:58,28.0,4.5906
2022-01-07 00:08:59,28.0,4.5906
2022-01-07 00:09:00,28.0,7.1874
2022-01-07 00:09:01,28.0,7.1874
2022-01-07 00:09:02,27.9,5.5692
2022-01-07 00:09:03,27.9,5.5692
2022-01-07 00:09:04,27.9,5.5692
